Relative_beep,Type,Sign,Condition,Asyn_zeroed,Perturb_size,n_subj,StdError
0,SC,neg,SCneg,52.4625280013,-50,10,2.0519865421
1,SC,neg,SCneg,45.6155094721,-50,10,4.5142262417
2,SC,neg,SCneg,19.8906472082,-50,10,6.4295578318
3,SC,neg,SCneg,-5.01356458965,-50,10,6.29290287985
4,SC,neg,SCneg,-16.2381544086,-50,10,6.0188722218
5,SC,neg,SCneg,-16.6551826535,-50,10,5.6086190643
6,SC,neg,SCneg,-15.8411631239,-50,10,5.6089073658
7,SC,neg,SCneg,-11.3337119694,-50,10,3.9671739814
8,SC,neg,SCneg,-14.487010572,-50,10,3.4198334194
9,SC,neg,SCneg,-21.6073390052,-50,10,3.1463793645
10,SC,neg,SCneg,-22.8454501685,-50,10,2.8727811589
11,SC,neg,SCneg,-22.8522252558,-50,10,3.0095802617
12,SC,neg,SCneg,-20.807013801,-50,10,3.5567766729
13,SC,neg,SCneg,-16.8467590577,-50,10,3.9673181322
14,SC,neg,SCneg,-19.5896603519,-50,10,3.1463793645
15,SC,neg,SCneg,-21.10122557,-50,10,3.2831784674
16,SC,neg,SCneg,-19.1929573688,-50,10,3.693431625
17,SC,neg,SCneg,-15.9165539888,-50,10,3.5566325221
18,SC,neg,SCneg,-20.7112976743,-50,10,3.4199775701
19,SC,neg,SCneg,-21.6756664812,-50,10,3.5569208237
20,SC,neg,SCneg,-16.3474207099,-50,10,3.556776673
0,SC,pos,SCpos,-50.6858710562,50,10,2.6064547122
1,SC,pos,SCpos,-46.3030971274,50,10,5.2126200274
2,SC,pos,SCpos,-3.10002141538,50,10,4.93827160494
3,SC,pos,SCpos,28.3060721293,50,10,5.3496495402
4,SC,pos,SCpos,34.6091403171,50,10,5.2126200275
5,SC,pos,SCpos,30.0754458162,50,10,3.9781968247
6,SC,pos,SCpos,17.3114433389,50,10,3.4294999797
7,SC,pos,SCpos,14.8353620068,50,10,2.8808031347
8,SC,pos,SCpos,10.4391311142,50,10,3.42949997971
9,SC,pos,SCpos,11.1180566408,50,10,2.88065843622
10,SC,pos,SCpos,9.60219478738,50,10,2.74362892352
11,SC,pos,SCpos,8.49800026625,50,10,3.15515155725
12,SC,pos,SCpos,6.98213841283,50,10,3.42964467827
13,SC,pos,SCpos,10.1303444404,50,10,3.01768794893
14,SC,pos,SCpos,6.69418832804,50,10,2.74333952643
15,SC,pos,SCpos,10.5282654118,50,10,3.42935528117
16,SC,pos,SCpos,7.91500986844,50,10,3.017977346
17,SC,pos,SCpos,7.90820903729,50,10,3.01783264751
18,SC,pos,SCpos,4.60908243765,50,10,4.2524005487
19,SC,pos,SCpos,5.56250108524,50,10,3.56652949245
20,SC,pos,SCpos,5.82990397805,50,10,3.29218106996
