,Relative_beep,Context,Type,Sign,Condition,Virtual_Asyn,ci_asyn,n_subj
0,0,comb,PS,neg,PSneg,46.10532716165943,16.726736084206223,14.321870525297673
1,0,comb,PS,pos,PSpos,-45.09803445888257,15.725384310840813,15.001872189626466
2,0,comb,SC,neg,SCneg,48.49850390126228,16.643283713117377,11.458200203923486
3,0,comb,SC,pos,SCpos,-45.686541398235434,21.79623244280257,13.029068101734007
4,1,comb,PS,neg,PSneg,-11.336643185474287,19.45181769014872,11.193551620715702
5,1,comb,PS,pos,PSpos,16.566228683872858,19.37508716566444,16.45341263353318
6,1,comb,SC,neg,SCneg,-13.105521053239002,16.540614795016893,11.939894317684134
7,1,comb,SC,pos,SCpos,24.822426378808572,23.74948430793895,15.872391739288508
8,0,pure,SC,neg,SCneg,58.7834215125,1.1844533056531283,12.492725109680627
9,0,pure,SC,pos,SCpos,-53.14972403985,1.5043444544747742,12.500435865641032
10,1,pure,SC,neg,SCneg,10.181210219299999,2.653465782994355,11.310492398767833
11,1,pure,SC,pos,SCpos,3.2192086164500004,3.060530534879369,11.377627860201548
12,1,pure,PS,neg,PSneg,36.6510141555,7.37350933833774,14.051471671643286
13,1,pure,PS,pos,PSpos,-34.663651847975004,4.04235393082338,24.405869247541364
14,0,pure,PS,neg,PSneg,50.0,0.0,
15,0,pure,PS,pos,PSpos,-50.0,0.0,
