,Experiment,Subject,Condition,Outlier_trial_porcPrevCond,Outlier_subj_meanAsyn,Outlier_subj_std,Outlier_subj_porcPrevCond
0,0,0,3,0,1,0,0
1,0,2,1,0,1,0,0
2,0,2,4,0,1,0,0
3,0,10,0,0,1,0,0
4,0,13,4,0,1,0,0
5,0,16,0,0,1,0,0
6,0,16,1,0,1,0,0
7,0,17,2,0,0,1,0
8,0,17,4,0,0,1,0
9,0,18,2,0,1,0,0
10,0,19,0,0,1,1,1
11,0,19,1,0,1,0,1
12,0,19,2,0,0,0,1
13,0,19,3,0,0,0,1
14,0,19,4,0,1,0,1
15,1,3,2,0,1,0,0
16,1,5,1,0,0,1,0
17,1,6,2,0,1,0,0
18,1,8,4,0,1,0,0
19,1,13,2,0,0,1,0
20,1,13,4,0,0,1,0
21,1,14,4,0,1,0,0
22,1,15,0,0,0,0,1
23,1,15,1,0,0,1,1
24,1,15,2,0,0,0,1
25,1,15,3,0,0,1,1
26,1,15,4,0,0,1,1
27,1,16,0,0,1,0,1
28,1,16,1,0,1,0,1
29,1,16,2,0,1,0,1
30,1,16,3,0,1,0,1
31,1,16,4,0,1,0,1
32,2,1,2,0,0,1,0
33,2,1,4,0,1,0,0
34,2,1,5,0,1,1,0
35,2,2,0,0,1,0,0
36,2,4,2,0,1,0,0
37,2,4,4,0,0,1,0
38,2,4,5,0,0,1,0
39,2,6,0,0,1,0,0
40,2,10,5,0,0,1,0
41,2,15,1,0,1,0,0
42,2,15,5,0,1,0,0
43,2,16,1,0,0,1,0
44,2,19,1,0,0,1,0
45,3,1,1,0,1,0,0
46,3,4,1,0,1,0,0
47,3,6,2,0,0,1,0
48,3,6,3,0,0,1,0
49,3,11,2,0,0,1,0
50,3,13,4,0,1,0,0
51,3,13,5,0,1,0,0
52,3,17,1,0,1,0,0
53,3,17,4,0,1,0,0
