,Experiment,Subject,Total_conditions,Total_outlier_conditions,Total_outlier_conditions_porc
0,0,0,5,1,20.0
1,0,2,5,2,40.0
2,0,10,5,1,20.0
3,0,13,5,1,20.0
4,0,16,5,2,40.0
5,0,17,5,2,40.0
6,0,18,5,1,20.0
7,0,19,5,3,60.0
8,1,3,5,1,20.0
9,1,5,5,1,20.0
10,1,6,5,1,20.0
11,1,8,5,1,20.0
12,1,13,5,2,40.0
13,1,14,5,1,20.0
14,1,15,5,3,60.0
15,1,16,5,5,100.0
16,2,1,6,3,50.0
17,2,2,6,1,16.666666666666668
18,2,4,6,3,50.0
19,2,6,6,1,16.666666666666668
20,2,10,6,1,16.666666666666668
21,2,15,6,2,33.333333333333336
22,2,16,6,1,16.666666666666668
23,2,19,6,1,16.666666666666668
24,3,1,6,1,16.666666666666668
25,3,4,6,1,16.666666666666668
26,3,6,6,2,33.333333333333336
27,3,11,6,1,16.666666666666668
28,3,13,6,2,33.333333333333336
29,3,17,6,2,33.333333333333336
